epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,82.4295,0.5121,0.39264,0.82772,0.96329,0.99288,0.995,0.93296,0.42059,0.33018,0.79177,0.000202188,0.000202188,0.000202188
43,84.79,0.50652,0.39947,0.82703,0.97558,0.99217,0.995,0.92656,0.42558,0.31569,0.79158,0.000191875,0.000191875,0.000191875
44,86.495,0.52626,0.39209,0.8338,0.97777,0.99426,0.995,0.92826,0.43224,0.30501,0.793,0.000181563,0.000181563,0.000181563
45,88.0507,0.50553,0.38316,0.82026,0.97364,0.9968,0.995,0.92149,0.4275,0.29587,0.7929,0.00017125,0.00017125,0.00017125
46,89.6243,0.51982,0.38258,0.82419,0.96758,0.99923,0.995,0.93555,0.41453,0.28718,0.79086,0.000160938,0.000160938,0.000160938
47,91.4053,0.50828,0.37606,0.81839,0.96748,0.99929,0.995,0.92589,0.40734,0.289,0.79049,0.000150625,0.000150625,0.000150625
48,92.9562,0.51743,0.37616,0.83129,0.96888,0.99847,0.995,0.93012,0.40919,0.29059,0.79072,0.000140313,0.000140313,0.000140313
49,94.5652,0.50136,0.38047,0.82541,0.97457,0.99374,0.995,0.93697,0.41661,0.29322,0.79193,0.00013,0.00013,0.00013
50,96.6647,0.49395,0.36172,0.83494,0.97605,0.99419,0.995,0.92899,0.42548,0.29381,0.79242,0.000119688,0.000119688,0.000119688
51,100.434,0.48998,0.35043,0.81828,0.97599,0.99488,0.995,0.93409,0.42595,0.29213,0.79138,0.000109375,0.000109375,0.000109375
52,102.161,0.52205,0.38529,0.82041,0.9742,0.99806,0.995,0.93048,0.42101,0.29202,0.79039,9.90625e-05,9.90625e-05,9.90625e-05
53,103.69,0.4987,0.35584,0.82673,0.97762,0.99384,0.995,0.93356,0.41333,0.29372,0.7892,8.875e-05,8.875e-05,8.875e-05
54,105.199,0.46739,0.32873,0.82568,0.98064,0.99377,0.995,0.93526,0.40985,0.29198,0.78943,7.84375e-05,7.84375e-05,7.84375e-05
55,106.737,0.48039,0.33757,0.82209,0.98238,0.99523,0.995,0.93922,0.4088,0.28939,0.78914,6.8125e-05,6.8125e-05,6.8125e-05
56,108.554,0.47703,0.34095,0.81325,0.98394,0.99578,0.995,0.9341,0.41152,0.28231,0.78926,5.78125e-05,5.78125e-05,5.78125e-05
57,110.673,0.46594,0.33462,0.80805,0.98459,0.99519,0.995,0.93569,0.41318,0.27884,0.78872,4.75e-05,4.75e-05,4.75e-05
58,112.235,0.47938,0.33916,0.81361,0.9852,0.99494,0.995,0.93437,0.41893,0.27896,0.78908,3.71875e-05,3.71875e-05,3.71875e-05
59,113.754,0.4759,0.3319,0.83601,0.98518,0.99749,0.995,0.93221,0.42111,0.27799,0.78926,2.6875e-05,2.6875e-05,2.6875e-05
60,115.287,0.46785,0.32596,0.81646,0.98519,0.99671,0.995,0.93432,0.42251,0.28125,0.78925,1.65625e-05,1.65625e-05,1.65625e-05
